Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
Cool Wall Art / Japanese Calligraphy / Japanese Wall Scroll / Dream in Japanese / Japanese Painting Calligraphy / Custom Calligraphy Scrolls ,Art & Collectibles > Painting > Ink,39.99,0,3,0,0,11,0,"Japanese Calligraphy,Custom Calligraphy,Japanese Painting,Cool Wall Art,Japan Decor,Handmade Scroll,Sumi Calligraphy,Dream in Japanese,Calligraphy Scrolls,Gift for Art Lover,Asian Souvenir,Zen Scroll Painting,Ink Painting Scroll,Gifts for Wife,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,,no,no,no,CalligraphyforGod,https://www.etsy.com/listing/690220406/cool-wall-art-japanese-calligraphy,Upgrade Pro to Unlock
"Zodiac Dragon, Character  ",Art & Collectibles > Prints > Digital Prints,3.5,0,0,0,0,294,1,"Chinese Calligraphy,Birthday Present,Asian Zen Art,New Born Baby Gift,Oriental Gifts,Dragon Design,DIY Home Decor,Character Dragon,Abstract Symbol,Zodiac Symbol Dragon,Original Handwritten,Zodiac Dragon Energy,Feng Shui Energy,Birthday Gifts,Gifts",United States,2020-10-26,no,no,no,ZWQArtzen,https://www.etsy.com/listing/878984180/zodiac-dragon-character-long-long,Upgrade Pro to Unlock
"Zodiac Abstract Rabbit 兔, Original Handwritten in Chinese Calligraphy Art, Printable Wall Art, 2 Style Shape, Unique Gift, Instant Download ",Art & Collectibles > Painting > Ink,3.5,0,0,0,0,220,0,"Zodiac Rabbit,Chinese Calligraphy,Birthday Present,Asian Zen Art,Printable,Baby Shower,Oriental Gifts,Character Rabbit,Zodiac Symbol Art,Zodiac Rabbit Design,DIT Home Decor,Abstract Rabbit Sign,Graduate Present Art,Baby Gifts,Gifts for Boys,Gifts for Girls,Birthday Gifts,Gifts for Friends,Gifts for Kids,Gifts",United States,2020-10-25,no,no,no,CarmenLamArt,https://www.etsy.com/listing/878665094/zodiac-abstract-rabbit-tu-original,Upgrade Pro to Unlock
"Enso circle. Wabi sabi. Minimalist décor. Zen meditation poster. Yoga prints. Japanese calligraphy art. Original artwork, digital print ",Art & Collectibles > Prints > Digital Prints,25,0,5,0,0,9,0,"Minimalist Painting,Enso Circle Wall Art,Boho Decor,Japanese Wabi Sabi,Bohemian Prints,Contemporary Office,Living Room Picture,Yoga Print,Abstract Artwork,Designer Inspiration,Mid-century Style,Zen Ring Calligraphy,Nordic Framed Poster",United States,2021-06-07,no,no,no,PAINTmatters,https://www.etsy.com/listing/1032170309/enso-circle-wabi-sabi-minimalist-decor,Upgrade Pro to Unlock
Modern Islamic Wall Art With Arabic Calligraphy- Beautiful Nature Green Gallery Islamic Wall Art - Zen Islamic Wall Decor - UNFRAMED ,Home & Living > Home Decor > Wall Decor > Wall Hangings,23.14,0,4,0,0,31,0,"Islamic Wall Art,Islamic Home Decor,Arabic Wall Art,Quran Wall Art,Arabic Art,Arabic Calligraphy,Islamic Art,Islamic Wall Decor,Muslim Art,Modern Islamic Art,Islamic Modern Art,Calligraphy Arabic,Islamic Decoration,Baby Gifts,Gifts for Boyfriend,Gifts for Boys,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Gifts for Kids,Gifts for Teachers,Housewarming Gifts,Personalized Gifts,Gifts",Canada,2022-04-10,no,no,no,MariamArabicWallArt,https://www.etsy.com/listing/1212568125/modern-islamic-wall-art-with-arabic,Upgrade Pro to Unlock
Japanese Calligraphy Scroll With the Kanji for Advance / Japanese Good Wish and Blessings Scroll / Japanese Gift for Him / Wall Hanging ,Home & Living > Home Decor > Wall Decor > Wall Hangings,39.99,0,36,7,0,58,0,"Japanese Scroll,Japanese Calligraphy,Traditional Japanese,Japanese Character,Japanese Decor,Japan Design,Made in Japan,Japanese Kakejiku,Kakejiku Scroll,Japanese Kakemono,Japanese Zen Gift,Advance in Japanese,Kanji for Advance,Baby Gifts,Gifts for Boyfriend,Gifts for Boys,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Gifts for Kids,Gifts for Teachers,Housewarming Gifts,Personalized Gifts,Gifts",United States,2020-06-03,no,no,no,CalligraphyforGod,https://www.etsy.com/listing/687283206/japanese-calligraphy-scroll-with-the,Upgrade Pro to Unlock
"Spirit Body Mind, Bedroom Decor, Printable Wall Art, Meditation Fitness, Inspirational Poster, Zen Deco, Printable Quote, Printable Wall Art ",Art & Collectibles > Prints > Digital Prints,5.67,0,0,0,0,38,0,"Bedroom Decor,Printable Wall Art,Calligraphy Print,Inspirational Poster,Zen Decor,Health and Fitness,Downloadable Print,Printable Quotes,Inspirational Quote,Inspirational Print,Instant Download,Spirit Body Mind,Meditation Fitness",United States,2019-08-07,no,no,no,PrintableWordsFR,https://www.etsy.com/listing/713262186/spirit-body-mind-bedroom-decor-printable,Upgrade Pro to Unlock
Enso Circle Wall Art Japanese Calligraphy Zen Office Décor Home Decoration Abstract Metal Wall Art ,Home & Living > Home Decor > Wall Decor > Wall Hangings,44.9,0,173,44,0,1116,3,"For Living Room,Office Decor,Housewarming Gift,Christmas Gift,Zen Wall Art,Aesthetic Room Decor,Wall Decoration,Metal Wall Art,Modern Home Decor,Enso Circle,Japanese Calligraphy,Yoga Studio Art,Meditation Decor,Baby Gifts,Gifts for Boyfriend,Gifts for Boys,Gifts for Dad,Gifts for Girlfriend,Gifts for Girls,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Gifts for Kids,Gifts for Teachers,Housewarming Gifts,Personalized Gifts,Gifts",Turkey,2021-11-23,no,no,no,ColorfullWorlds,https://www.etsy.com/listing/1126738487/enso-circle-wall-art-japanese,Upgrade Pro to Unlock
"ZEN calligraphy art holy RYUJIN dragon hanging scroll, Japanese style good luck guardian painting silk Kakejiku, Japanese Sumie art, ",Art & Collectibles > Painting > Mixed,"1,250.00",0,0,0,0,2,0,"Art & Collectibles,Painting,Mixed,guardian RYU dragon,black ink wall art,Sumie art painting,traditional art,Japanese painting,Japan scenery art,Calligraphy ink art,Kakejiku kakemono,Japanese wall art,ZEN style wall decor,big hanging scroll,Japan souvenir,Exotic unique style",Japan,,no,no,no,JapanCrossBridge,https://www.etsy.com/listing/1287438574/zen-calligraphy-art-holy-ryujin-dragon,Upgrade Pro to Unlock
忍耐 -Nintai-  ,Art & Collectibles > Drawing & Illustration > Pen & Ink,70,0,0,0,0,0,0,"kanji art,interior decor,patience,japanese calligraphy,calligraphy gift,zen art,gift for friends,famous quote,martial art,handmade piece,zen calligraphy art,bushido word,Gifts for Friends,Gifts",United States,,no,no,no,KoshuCalligraphy,https://www.etsy.com/listing/1581552569/rn-nai-nintai-patiencewith-a-frame-ozen,Upgrade Pro to Unlock
Original Japanese ink painting of a cat “Easy life” on natural Awagami paper (40x30 cm) ,Art & Collectibles > Painting > Combination,104.42,0,0,0,0,3,0,"Japanese calligraphy,black ink painting,Cat gifts,Cosy room decor,Art and collectibles,home decor art,Gift for cat lovers,Zen Wall Hanging,Asian art work,Japanese ink drawing,minimalistic cat art,Kawaii cat picture,Neko cat art",Germany,,no,no,no,SumieCats,https://www.etsy.com/listing/1563211888/original-japanese-ink-painting-of-a-cat,Upgrade Pro to Unlock
"Family ,Original Japanese Calligraphy,Shodo,Kanji, Wall Art Gift ",Art & Collectibles > Drawing & Illustration > Pen & Ink,40,0,3,0,0,16,0,"original,wall art,home,zen decor,family,art,saying,zen,Japanese calligraphy,shodo,kanji,kazoku",United States,,no,no,no,ZenArtCalligraphy,https://www.etsy.com/listing/964446920/family-original-japanese,Upgrade Pro to Unlock
"Japandi Wall Art, Printable Set of 3, Modern Minimalist Zen Decor, Japanese Calligraphy Inspired Poster, Beige & Black, Instant Download ",Art & Collectibles > Prints > Digital Prints,15,0,0,0,0,0,0,"Japandi Wall Decor,Wabi Sabi Wall Art,Japanese wall art,Printable Art,Minimalist Wall Art,Boho Art,living room decor,Wabi Sabi Decor,Zen Wall Art,Neutral Abstract art,Downloadable Art,Scandinavian Art",United States,,no,no,no,JapanALotOfThat,https://www.etsy.com/listing/1584900394/japandi-wall-art-printable-set-of-3,Upgrade Pro to Unlock
Calligraphy Themed Wall Decor - Cobalt Blue Chinese Character for Longevity on Gold Background Printed on Eco Friendly Recycled Aluminum ,Art & Collectibles > Prints > Digital Prints,75,0,0,0,0,2,0,"Art & Collectibles,Prints,Digital Prints,Chinese character,longevity,Gold background,eco-friendly,recycled aluminum,print on metal,calligraphy print,metal calligraphy,zen wall decor,calligraphy gifts,gold and blue,made in America,cobalt blue",United States,2021-04-10,no,no,no,ArtByFreddyB,https://www.etsy.com/listing/984158600/calligraphy-themed-wall-decor-cobalt,Upgrade Pro to Unlock
