Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL,search_term,product_name,price
"Carved  chinese zodiac dragon pendant, red howlite turquoise stone pendant,Amulet pendant,wholesale loose beads ",Jewelry > Necklaces > Pendant Necklaces,4.95,0,9,0,0,12,0,"['Jewelry', 'Necklaces', 'Pendant Necklaces', 'howlite turquoise', 'turquoise pendant', 'necklace pendant', 'carved pendant', 'dragon pendant', 'red dragon', 'red turquoise', 'gemstone', 'stone pendant', 'necklace bead', 'wholesale', 'chinese dragon', 'chinese zodiac']",China,2021-12-18,False,False,False,diygem,https://www.etsy.com/listing/1129730700/carved-chinese-zodiac-dragon-pendant-red,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,4.95
"Jade Monkey Necklace, Pale White/Light Green Jade, Adjustable Thread Necklace, Birth Animals, Chinese Zodiac, Birthday Gift ",Jewelry > Necklaces > Pendant Necklaces,19.89,0,1,0,0,9,0,"['Jewelry', 'Necklaces', 'Pendant Necklaces', 'jade monkey', 'jade monkey necklace', 'birth animals', 'burma jade pendant', 'gemstone pendant', 'monkey', 'jade necklace', 'jade pendant', 'chinese zodiac', 'birthday gift', 'birthstone', 'gift for her', 'jade']",China,,False,False,False,ByjjJewelry,https://www.etsy.com/listing/972825183/jade-monkey-necklace-pale-whitelight,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,19.89
"Sterling Silver Asian Pottery Pendant with Gemstone Beads, Asian Beaded Necklace, Chinese Pottery Jewelry, Chinese Pottery Necklace ",Jewelry > Necklaces > Beaded Necklaces,102.0,0,5,0,0,14,0,"['Jewelry', 'Necklaces', 'Beaded Necklaces', 'carved gemstone', 'asian necklace', 'asian pendant', 'asian jewelry', 'asian pottery', 'gemstone beads', 'carved beads', 'sterling pottery', 'sterling ceramic', 'hand painted', 'chinese pottery', 'chinese necklace', 'chinese jewelry']",United States,2018-04-21,False,False,False,UptownPatina,https://www.etsy.com/listing/595220998/sterling-silver-asian-pottery-pendant,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,102.0
Silver Chinese Dragon Pendant ,Jewelry > Necklaces > Pendant Necklaces,35.11,0,2,0,0,14,0,"['Jewelry', 'Necklaces', 'Pendant Necklaces', 'unique', 'special', 'red eyes', 'thrifted', 'Chinese', 'dragon pendant', 'red', 'gemstone', 'dragon', 'Chinese dragon', 'silver', 'pendant', 'jewelry']",Canada,,False,False,False,MoonMonstersCave,https://www.etsy.com/listing/1189471350/silver-chinese-dragon-pendant,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,35.11
"M Jadeite,  Fish Ruyi Jade Jadeite Pendant,  Natural Grade A Jade, Hand Carved, Chinese Artwork, Burmese Jadeite ",Jewelry > Necklaces > Pendant Necklaces,90.0,0,2,0,0,13,0,"['Jewelry', 'Necklaces', 'Pendant Necklaces', 'Jadeite Jade Pendant', 'Burma Jade Pendant', 'Burma Jadeite', 'Burmese Jade Pendant', 'Burmese Jadeite', 'Gemstone Jewelry', 'Chinese Jewelry', 'Chinese Jadeite', 'Grade A Jade Pendant', 'Jade Pendant Men', 'Jade Pendant Women', 'Jadeite Pendant Men', 'Hand Carved Jadeite']",China,2021-02-10,False,False,False,MJadeite,https://www.etsy.com/listing/960319713/m-jadeite-fish-ruyi-jade-jadeite-pendant,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,90.0
"Certified,Bodhisattva,godness,guanyin,carved natural jadeite jade stone pendant,Rope necklace,protector,amulet,gemstone pendant,Good Luck ",Jewelry > Necklaces > Pendant Necklaces,14.4,0,1,0,0,7,0,"['Jewelry', 'Necklaces', 'Pendant Necklaces', 'Handmade', 'gemstone necklace', 'Wedding necklace', 'necklace pendant', 'gemstone pendant', 'jadeite pendant', 'jadeite necklace', 'amulet pendant', 'chinese jade pendant', 'protect pendant', 'Bodhisattva', 'godness', 'guanyin']",China,,False,False,False,myhandcrfs,https://www.etsy.com/listing/1270136356/certifiedbodhisattvagodnessguanyincarved,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,14.4
Gemstone Y-Necklace - MALA - Sodalite Lotus Flower - Agate matt Sodalite - blue silver - 6 mm balls - Chinese knot ,Jewelry > Necklaces > Lariat & Y Necklaces,56.82,0,1,0,0,0,0,"['Jewelry', 'Necklaces', 'Lariat & Y Necklaces', 'Chain', 'Y-chain', 'Gemstone Necklace', 'Gemstones', 'semi-precious stones', 'Lotus', 'Mala', 'pearls', 'Chinese node', 'sodalite', 'agate', 'blue', 'necklace']",Germany,2022-09-30,False,False,False,artrici,https://www.etsy.com/listing/1315740607/gemstone-y-necklace-mala-sodalite-lotus,Upgrade Pro to Unlock,chinese gemstone necklaces,bead bracelets and necklaces,56.82
Jade Feng Shui Bracelet ,Jewelry > Bracelets > Beaded Bracelets,38.0,1,74,13,0,320,0,"['Feng Shui Bracelet', 'Designer Jewelry', 'Gemstone Bracelets', 'Handmade Jewelry', 'Good Luck', 'Pixiu', 'Chinese Dragon', 'Wealth', 'Green Jade', 'Prosperity Bracelet', 'Dragon Bracelet', 'Wealth Crystal', 'Designer Bracelet', 'Gifts for Girlfriend', 'Gifts for Mom', 'Gifts for Sister', 'Gifts for Wife', 'Anniversary Gifts', 'Birthday Gifts', 'Christmas Gifts', 'Gifts for Her', 'Housewarming Gifts', 'Personalized Gifts', 'Gifts']",United States,2020-06-01,False,False,False,JessieBeverlyDesigns,https://www.etsy.com/listing/803945124/jade-feng-shui-bracelet,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,38.0
Green Jade Healing Gemstone Bracelet for Gemini Pisces Taurus zodiac gift - 8mm 10 mm or Faceted AA Quality on Stretch ,Jewelry > Bracelets > Beaded Bracelets,39.95,0,1,0,0,7,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'chakra bracelet', 'birthday gift', 'christmas gift', 'jade beads', 'jade bracelet', 'Good Luck bracelet', 'dainty bracelet', 'gemstone bracelet', 'zodiac bracelet', 'crystal chips', 'green jade crystal', 'chinese jade', 'valentines day']",Turkey,,False,False,False,GemstoneCrystalsShop,https://www.etsy.com/listing/1130817167/green-jade-healing-gemstone-bracelet-for,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,39.95
Feng Shui Beaded Bracelet For Women or Men Jewellery Bracelet Feng-Shui Bracelet Yoga Good Luck ,Jewelry > Bracelets > Beaded Bracelets,9.26,0,3,0,0,10,0,"['Jewelry', 'Bracelets', 'Beaded Bracelets', 'men bracelet', 'women bracelet', 'healing bracelet', 'moss gate bracelet', 'gemstone bracelet', 'feng shui bracelet', 'good luck bracelet', 'chinese good luck', 'feng-shui', 'bali bracelet', 'beaded bracelet', 'chinese coin', 'bracelet for women']",British,,False,False,False,DansShopGiftsx,https://www.etsy.com/listing/1205760933/feng-shui-beaded-bracelet-for-women-or,Upgrade Pro to Unlock,chinese gemstone bracelets,bead bracelets and necklaces,9.26
"Herkimer Diamond Black Tourmaline Hair Quartz Bracelet, Inspiration, Clarity, Strength ",Jewelry > Bracelets > Charm Bracelets,46.77,0,1,0,0,3,0,"['Jewelry', 'Bracelets', 'Charm Bracelets', 'Feng Shui', 'Chinese Feng Shui', 'Natural Gemstone', 'feng shui benefits', 'Micharzoee', 'Black Titanium', 'Herkimer Diamond', 'Tourmaline Hair', 'Black Tourmaline']",,2021-05-18,False,False,False,Micharzoee,https://www.etsy.com/listing/1007351380/herkimer-diamond-black-tourmaline-hair,,chinese gemstone bracelets,bead bracelets and necklaces,46.77
